union,performance,framing,id,round,overextraction,observer,overext_observed,report,punished,round_profit,group_id
1,1,1,321121,1,25,NA,NA,NA,NA,930,121
1,1,1,642111,1,15,NA,NA,NA,NA,1050,111
1,1,1,963121,1,50,NA,NA,NA,NA,1300,121
1,1,1,1284111,1,0,NA,NA,NA,NA,820,111
1,1,1,1605111,1,0,NA,NA,NA,NA,820,111
1,1,1,1926121,1,0,NA,NA,NA,NA,550,121
1,1,1,2247121,1,2,NA,NA,NA,NA,580,121
1,1,1,2568121,1,12,NA,NA,NA,NA,730,121
1,1,1,2889111,1,0,NA,NA,NA,NA,820,111
1,1,1,3210111,1,20,NA,NA,NA,NA,1120,111
1,1,1,321121,2,40,NA,NA,NA,NA,1070,121
1,1,1,642111,2,15,NA,NA,NA,NA,970,111
1,1,1,963121,2,50,NA,NA,NA,NA,1220,121
1,1,1,1284111,2,5,NA,NA,NA,NA,820,111
1,1,1,1605111,2,0,NA,NA,NA,NA,750,111
1,1,1,1926121,2,0,NA,NA,NA,NA,470,121
1,1,1,2247121,2,3,NA,NA,NA,NA,520,121
1,1,1,2568121,2,12,NA,NA,NA,NA,650,121
1,1,1,2889111,2,10,NA,NA,NA,NA,900,111
1,1,1,3210111,2,20,NA,NA,NA,NA,1050,111
1,1,1,321121,3,30,NA,NA,NA,NA,980,121
1,1,1,642111,3,25,NA,NA,NA,NA,1000,111
1,1,1,963121,3,50,NA,NA,NA,NA,1280,121
1,1,1,1284111,3,5,NA,NA,NA,NA,700,111
1,1,1,1605111,3,0,NA,NA,NA,NA,620,111
1,1,1,1926121,3,0,NA,NA,NA,NA,530,121
1,1,1,2247121,3,2,NA,NA,NA,NA,560,121
1,1,1,2568121,3,12,NA,NA,NA,NA,710,121
1,1,1,2889111,3,25,NA,NA,NA,NA,1000,111
1,1,1,3210111,3,20,NA,NA,NA,NA,920,111
1,1,1,321121,4,45,NA,NA,NA,NA,1130,121
1,1,1,642111,4,20,NA,NA,NA,NA,900,111
1,1,1,963121,4,50,NA,NA,NA,NA,1210,121
1,1,1,1284111,4,5,NA,NA,NA,NA,680,111
1,1,1,1605111,4,0,NA,NA,NA,NA,600,111
1,1,1,1926121,4,0,NA,NA,NA,NA,460,121
1,1,1,2247121,4,1,NA,NA,NA,NA,470,121
1,1,1,2568121,4,12,NA,NA,NA,NA,640,121
1,1,1,2889111,4,4,NA,NA,NA,NA,660,111
1,1,1,3210111,4,50,NA,NA,NA,NA,1350,111
1,1,1,321121,5,35,NA,NA,NA,NA,1010,121
1,1,1,642111,5,45,NA,NA,NA,NA,930,111
1,1,1,963121,5,50,NA,NA,NA,NA,1230,121
1,1,1,1284111,5,5,NA,NA,NA,NA,330,111
1,1,1,1605111,5,0,NA,NA,NA,NA,260,111
1,1,1,1926121,5,0,NA,NA,NA,NA,480,121
1,1,1,2247121,5,3,NA,NA,NA,NA,530,121
1,1,1,2568121,5,15,NA,NA,NA,NA,710,121
1,1,1,2889111,5,48,NA,NA,NA,NA,980,111
1,1,1,3210111,5,50,NA,NA,NA,NA,1010,111
1,1,1,321121,6,40,NA,NA,NA,NA,1060,121
1,1,1,642111,6,50,NA,NA,NA,NA,1030,111
1,1,1,963121,6,50,NA,NA,NA,NA,1210,121
1,1,1,1284111,6,5,NA,NA,NA,NA,350,111
1,1,1,1605111,6,0,NA,NA,NA,NA,280,111
1,1,1,1926121,6,0,NA,NA,NA,NA,460,121
1,1,1,2247121,6,3,NA,NA,NA,NA,500,121
1,1,1,2568121,6,15,NA,NA,NA,NA,680,121
1,1,1,2889111,6,49,NA,NA,NA,NA,1010,111
1,1,1,3210111,6,40,NA,NA,NA,NA,880,111
1,1,1,321121,7,50,NA,NA,NA,NA,1160,121
1,1,1,642111,7,50,NA,NA,NA,NA,1040,111
1,1,1,963121,7,50,NA,NA,NA,NA,1160,121
1,1,1,1284111,7,5,NA,NA,NA,NA,360,111
1,1,1,1605111,7,0,NA,NA,NA,NA,290,111
1,1,1,1926121,7,0,NA,NA,NA,NA,410,121
1,1,1,2247121,7,2,NA,NA,NA,NA,440,121
1,1,1,2568121,7,15,NA,NA,NA,NA,640,121
1,1,1,2889111,7,47,NA,NA,NA,NA,990,111
1,1,1,3210111,7,40,NA,NA,NA,NA,890,111
1,1,1,321121,8,30,NA,NA,NA,NA,910,121
1,1,1,642111,8,50,NA,NA,NA,NA,970,111
1,1,1,963121,8,50,NA,NA,NA,NA,1210,121
1,1,1,1284111,8,20,NA,NA,NA,NA,520,111
1,1,1,1605111,8,0,NA,NA,NA,NA,220,111
1,1,1,1926121,8,0,NA,NA,NA,NA,460,121
1,1,1,2247121,8,3,NA,NA,NA,NA,500,121
1,1,1,2568121,8,25,NA,NA,NA,NA,830,121
1,1,1,2889111,8,46,NA,NA,NA,NA,910,111
1,1,1,3210111,8,40,NA,NA,NA,NA,820,111
1,1,1,321121,9,50,NA,NA,NA,NA,1110,121
1,1,1,642111,9,40,NA,NA,NA,NA,850,111
1,1,1,963121,9,50,NA,NA,NA,NA,1110,121
1,1,1,1284111,9,20,NA,NA,NA,NA,550,111
1,1,1,1605111,9,0,NA,NA,NA,NA,250,111
1,1,1,1926121,9,0,NA,NA,NA,NA,360,121
1,1,1,2247121,9,2,NA,NA,NA,NA,390,121
1,1,1,2568121,9,25,NA,NA,NA,NA,740,121
1,1,1,2889111,9,45,NA,NA,NA,NA,920,111
1,1,1,3210111,9,45,NA,NA,NA,NA,920,111
1,1,1,321121,10,50,NA,NA,NA,NA,1110,121
1,1,1,642111,10,40,NA,NA,NA,NA,930,111
1,1,1,963121,10,50,NA,NA,NA,NA,1110,121
1,1,1,1284111,10,5,NA,NA,NA,NA,410,111
1,1,1,1605111,10,0,NA,NA,NA,NA,330,111
1,1,1,1926121,10,0,NA,NA,NA,NA,360,121
1,1,1,2247121,10,3,NA,NA,NA,NA,400,121
1,1,1,2568121,10,25,NA,NA,NA,NA,730,121
1,1,1,2889111,10,48,NA,NA,NA,NA,1050,111
1,1,1,3210111,10,40,NA,NA,NA,NA,930,111
1,1,1,321121,11,25,0,NA,NA,1,0,121
1,1,1,642111,11,30,-1,NA,NA,NA,950,111
1,1,1,963121,11,50,1,3,0,NA,1610,121
1,1,1,1284111,11,5,1,0,0,NA,570,111
1,1,1,1605111,11,0,0,NA,NA,0,500,111
1,1,1,1926121,11,0,-1,NA,NA,NA,610,121
1,1,1,2247121,11,3,0,NA,NA,0,650,121
1,1,1,2568121,11,0,1,25,1,NA,610,121
1,1,1,2889111,11,25,1,40,1,NA,870,111
1,1,1,3210111,11,40,0,NA,NA,1,0,111
1,1,1,321121,12,0,1,0,0,NA,740,121
1,1,1,642111,12,35,1,0,0,NA,1100,111
1,1,1,963121,12,50,1,0,0,NA,1490,121
1,1,1,1284111,12,5,-1,NA,NA,NA,650,111
1,1,1,1605111,12,0,0,NA,NA,0,570,111
1,1,1,1926121,12,0,0,NA,NA,0,740,121
1,1,1,2247121,12,2,-1,NA,NA,NA,770,121
1,1,1,2568121,12,0,0,NA,NA,0,740,121
1,1,1,2889111,12,45,0,NA,NA,1,0,111
1,1,1,3210111,12,0,1,45,1,NA,570,111
1,1,1,321121,13,30,-1,NA,NA,NA,1030,121
1,1,1,642111,13,35,1,0,0,NA,1080,111
1,1,1,963121,13,50,0,NA,NA,1,0,121
1,1,1,1284111,13,5,0,NA,NA,1,0,111
1,1,1,1605111,13,0,0,NA,NA,0,560,111
1,1,1,1926121,13,0,0,NA,NA,0,580,121
1,1,1,2247121,13,3,1,50,1,NA,630,121
1,1,1,2568121,13,0,1,0,0,NA,580,121
1,1,1,2889111,13,48,1,5,1,NA,1280,111
1,1,1,3210111,13,0,-1,NA,NA,NA,560,111
1,1,1,321121,14,40,-1,NA,NA,NA,1140,121
1,1,1,642111,14,35,0,NA,NA,0,1090,111
1,1,1,963121,14,50,1,0,0,NA,1290,121
1,1,1,1284111,14,5,-1,NA,NA,NA,640,111
1,1,1,1605111,14,0,1,35,0,NA,820,111
1,1,1,1926121,14,0,0,NA,NA,0,540,121
1,1,1,2247121,14,2,1,0,0,NA,570,121
1,1,1,2568121,14,0,0,NA,NA,0,540,121
1,1,1,2889111,14,46,0,NA,NA,0,1260,111
1,1,1,3210111,14,0,1,46,0,NA,820,111
1,1,1,321121,15,40,0,NA,NA,1,0,121
1,1,1,642111,15,35,0,NA,NA,1,0,111
1,1,1,963121,15,50,1,0,0,NA,1280,121
1,1,1,1284111,15,0,1,0,0,NA,590,111
1,1,1,1605111,15,0,-1,NA,NA,NA,590,111
1,1,1,1926121,15,0,0,NA,NA,0,530,121
1,1,1,2247121,15,3,1,40,1,NA,580,121
1,1,1,2568121,15,0,-1,NA,NA,NA,530,121
1,1,1,2889111,15,46,1,35,1,NA,1280,111
1,1,1,3210111,15,0,0,NA,NA,0,590,111
1,1,1,321121,16,30,1,3,1,NA,1030,121
1,1,1,642111,16,35,0,NA,NA,0,1130,111
1,1,1,963121,16,50,1,0,0,NA,1330,121
1,1,1,1284111,16,0,-1,NA,NA,NA,610,111
1,1,1,1605111,16,0,1,35,0,NA,860,111
1,1,1,1926121,16,0,-1,NA,NA,NA,580,121
1,1,1,2247121,16,3,0,NA,NA,1,0,121
1,1,1,2568121,16,0,0,NA,NA,0,580,121
1,1,1,2889111,16,43,0,NA,NA,1,0,111
1,1,1,3210111,16,0,1,43,1,NA,610,111
1,1,1,321121,17,30,-1,NA,NA,NA,1040,121
1,1,1,642111,17,35,-1,NA,NA,NA,1120,111
1,1,1,963121,17,50,1,2,0,NA,1590,121
1,1,1,1284111,17,5,0,NA,NA,1,0,111
1,1,1,1605111,17,0,1,41,0,NA,840,111
1,1,1,1926121,17,0,0,NA,NA,0,590,121
1,1,1,2247121,17,2,0,NA,NA,0,620,121
1,1,1,2568121,17,0,1,0,0,NA,590,121
1,1,1,2889111,17,41,0,NA,NA,0,1210,111
1,1,1,3210111,17,0,1,5,1,NA,590,111
1,1,1,321121,18,25,1,0,0,NA,980,121
1,1,1,642111,18,50,1,35,1,NA,1070,111
1,1,1,963121,18,50,1,0,0,NA,1360,121
1,1,1,1284111,18,50,-1,NA,NA,NA,1070,111
1,1,1,1605111,18,0,1,0,0,NA,320,111
1,1,1,1926121,18,0,0,NA,NA,0,610,121
1,1,1,2247121,18,3,-1,NA,NA,NA,650,121
1,1,1,2568121,18,0,0,NA,NA,0,610,121
1,1,1,2889111,18,35,0,NA,NA,1,0,111
1,1,1,3210111,18,0,0,NA,NA,0,320,111
1,1,1,321121,19,40,0,NA,NA,1,0,121
1,1,1,642111,19,50,0,NA,NA,1,0,111
1,1,1,963121,19,50,1,0,0,NA,1280,121
1,1,1,1284111,19,5,0,NA,NA,1,0,111
1,1,1,1605111,19,0,-1,NA,NA,NA,520,111
1,1,1,1926121,19,0,0,NA,NA,0,530,121
1,1,1,2247121,19,3,1,40,1,NA,580,121
1,1,1,2568121,19,0,-1,NA,NA,NA,530,121
1,1,1,2889111,19,41,1,50,1,NA,1130,111
1,1,1,3210111,19,0,1,5,1,NA,520,111
1,1,1,321121,20,30,1,0,0,NA,1030,121
1,1,1,642111,20,50,1,0,0,NA,1410,111
1,1,1,963121,20,50,1,3,0,NA,1580,121
1,1,1,1284111,20,5,0,NA,NA,0,740,111
1,1,1,1605111,20,0,1,5,0,NA,910,111
1,1,1,1926121,20,0,-1,NA,NA,NA,580,121
1,1,1,2247121,20,3,0,NA,NA,0,630,121
1,1,1,2568121,20,0,0,NA,NA,0,580,121
1,1,1,2889111,20,12,-1,NA,NA,NA,840,111
1,1,1,3210111,20,0,0,NA,NA,0,660,111
1,1,2,321112,1,50,NA,NA,NA,NA,620,112
1,1,2,642122,1,0,NA,NA,NA,NA,590,122
1,1,2,963122,1,5,NA,NA,NA,NA,670,122
1,1,2,1284122,1,50,NA,NA,NA,NA,1340,122
1,1,2,1605112,1,45,NA,NA,NA,NA,550,112
1,1,2,1926122,1,25,NA,NA,NA,NA,970,122
1,1,2,2247122,1,1,NA,NA,NA,NA,610,122
1,1,2,2568112,1,50,NA,NA,NA,NA,620,112
1,1,2,2889112,1,40,NA,NA,NA,NA,470,112
1,1,2,3210112,1,40,NA,NA,NA,NA,470,112
1,1,2,321112,2,50,NA,NA,NA,NA,900,112
1,1,2,642122,2,0,NA,NA,NA,NA,710,122
1,1,2,963122,2,5,NA,NA,NA,NA,780,122
1,1,2,1284122,2,50,NA,NA,NA,NA,1460,122
1,1,2,1605112,2,40,NA,NA,NA,NA,750,112
1,1,2,1926122,2,1,NA,NA,NA,NA,720,122
1,1,2,2247122,2,2,NA,NA,NA,NA,740,122
1,1,2,2568112,2,40,NA,NA,NA,NA,750,112
1,1,2,2889112,2,10,NA,NA,NA,NA,300,112
1,1,2,3210112,2,30,NA,NA,NA,NA,600,112
1,1,2,321112,3,50,NA,NA,NA,NA,800,112
1,1,2,642122,3,0,NA,NA,NA,NA,520,122
1,1,2,963122,3,5,NA,NA,NA,NA,590,122
1,1,2,1284122,3,50,NA,NA,NA,NA,1270,122
1,1,2,1605112,3,40,NA,NA,NA,NA,650,112
1,1,2,1926122,3,25,NA,NA,NA,NA,890,122
1,1,2,2247122,3,16,NA,NA,NA,NA,760,122
1,1,2,2568112,3,30,NA,NA,NA,NA,500,112
1,1,2,2889112,3,50,NA,NA,NA,NA,800,112
1,1,2,3210112,3,20,NA,NA,NA,NA,350,112
1,1,2,321112,4,50,NA,NA,NA,NA,720,112
1,1,2,642122,4,0,NA,NA,NA,NA,540,122
1,1,2,963122,4,5,NA,NA,NA,NA,610,122
1,1,2,1284122,4,50,NA,NA,NA,NA,1290,122
1,1,2,1605112,4,35,NA,NA,NA,NA,500,112
1,1,2,1926122,4,25,NA,NA,NA,NA,910,122
1,1,2,2247122,4,12,NA,NA,NA,NA,720,122
1,1,2,2568112,4,30,NA,NA,NA,NA,420,112
1,1,2,2889112,4,50,NA,NA,NA,NA,720,112
1,1,2,3210112,4,40,NA,NA,NA,NA,570,112
1,1,2,321112,5,50,NA,NA,NA,NA,870,112
1,1,2,642122,5,0,NA,NA,NA,NA,660,122
1,1,2,963122,5,5,NA,NA,NA,NA,730,122
1,1,2,1284122,5,50,NA,NA,NA,NA,1410,122
1,1,2,1605112,5,25,NA,NA,NA,NA,500,112
1,1,2,1926122,5,1,NA,NA,NA,NA,670,122
1,1,2,2247122,5,12,NA,NA,NA,NA,840,122
1,1,2,2568112,5,10,NA,NA,NA,NA,270,112
1,1,2,2889112,5,50,NA,NA,NA,NA,870,112
1,1,2,3210112,5,40,NA,NA,NA,NA,720,112
1,1,2,321112,6,50,NA,NA,NA,NA,760,112
1,1,2,642122,6,20,NA,NA,NA,NA,780,122
1,1,2,963122,6,5,NA,NA,NA,NA,550,122
1,1,2,1284122,6,50,NA,NA,NA,NA,1230,122
1,1,2,1605112,6,48,NA,NA,NA,NA,730,112
1,1,2,1926122,6,15,NA,NA,NA,NA,700,122
1,1,2,2247122,6,14,NA,NA,NA,NA,690,122
1,1,2,2568112,6,10,NA,NA,NA,NA,160,112
1,1,2,2889112,6,50,NA,NA,NA,NA,760,112
1,1,2,3210112,6,40,NA,NA,NA,NA,610,112
1,1,2,321112,7,50,NA,NA,NA,NA,880,112
1,1,2,642122,7,20,NA,NA,NA,NA,560,122
1,1,2,963122,7,10,NA,NA,NA,NA,410,122
1,1,2,1284122,7,50,NA,NA,NA,NA,1010,122
1,1,2,1605112,7,38,NA,NA,NA,NA,700,112
1,1,2,1926122,7,25,NA,NA,NA,NA,640,122
1,1,2,2247122,7,42,NA,NA,NA,NA,890,122
1,1,2,2568112,7,5,NA,NA,NA,NA,210,112
1,1,2,2889112,7,40,NA,NA,NA,NA,730,112
1,1,2,3210112,7,40,NA,NA,NA,NA,730,112
1,1,2,321112,8,50,NA,NA,NA,NA,780,112
1,1,2,642122,8,20,NA,NA,NA,NA,820,122
1,1,2,963122,8,0,NA,NA,NA,NA,520,122
1,1,2,1284122,8,50,NA,NA,NA,NA,1270,122
1,1,2,1605112,8,50,NA,NA,NA,NA,780,112
1,1,2,1926122,8,15,NA,NA,NA,NA,740,122
1,1,2,2247122,8,11,NA,NA,NA,NA,680,122
1,1,2,2568112,8,4,NA,NA,NA,NA,90,112
1,1,2,2889112,8,50,NA,NA,NA,NA,780,112
1,1,2,3210112,8,40,NA,NA,NA,NA,630,112
1,1,2,321112,9,50,NA,NA,NA,NA,830,112
1,1,2,642122,9,20,NA,NA,NA,NA,780,122
1,1,2,963122,9,2,NA,NA,NA,NA,510,122
1,1,2,1284122,9,45,NA,NA,NA,NA,1150,122
1,1,2,1605112,9,40,NA,NA,NA,NA,680,112
1,1,2,1926122,9,25,NA,NA,NA,NA,850,122
1,1,2,2247122,9,12,NA,NA,NA,NA,660,122
1,1,2,2568112,9,3,NA,NA,NA,NA,130,112
1,1,2,2889112,9,50,NA,NA,NA,NA,830,112
1,1,2,3210112,9,40,NA,NA,NA,NA,680,112
1,1,2,321112,10,50,NA,NA,NA,NA,770,112
1,1,2,642122,10,20,NA,NA,NA,NA,770,122
1,1,2,963122,10,0,NA,NA,NA,NA,470,122
1,1,2,1284122,10,50,NA,NA,NA,NA,1220,122
1,1,2,1605112,10,30,NA,NA,NA,NA,470,112
1,1,2,1926122,10,15,NA,NA,NA,NA,700,122
1,1,2,2247122,10,20,NA,NA,NA,NA,770,122
1,1,2,2568112,10,25,NA,NA,NA,NA,400,112
1,1,2,2889112,10,50,NA,NA,NA,NA,770,112
1,1,2,3210112,10,40,NA,NA,NA,NA,620,112
1,1,2,321112,11,50,0,NA,NA,1,0,112
1,1,2,642122,11,0,-1,NA,NA,NA,690,122
1,1,2,963122,11,5,0,NA,NA,0,770,122
1,1,2,1284122,11,40,1,15,1,NA,1290,122
1,1,2,1605112,11,35,1,40,0,NA,850,112
1,1,2,1926122,11,15,0,NA,NA,1,0,122
1,1,2,2247122,11,1,1,5,0,NA,960,122
1,1,2,2568112,11,10,-1,NA,NA,NA,220,112
1,1,2,2889112,11,50,1,50,1,NA,820,112
1,1,2,3210112,11,40,0,NA,NA,0,670,112
1,1,2,321112,12,50,0,NA,NA,0,950,112
1,1,2,642122,12,0,0,NA,NA,0,660,122
1,1,2,963122,12,5,0,NA,NA,1,0,122
1,1,2,1284122,12,35,-1,NA,NA,NA,1190,122
1,1,2,1605112,12,25,1,40,1,NA,570,112
1,1,2,1926122,12,15,1,5,1,NA,890,122
1,1,2,2247122,12,12,1,0,0,NA,840,122
1,1,2,2568112,12,5,-1,NA,NA,NA,270,112
1,1,2,2889112,12,40,0,NA,NA,1,0,112
1,1,2,3210112,12,40,1,50,0,NA,1050,112
1,1,2,321112,13,50,1,50,0,NA,1150,112
1,1,2,642122,13,0,-1,NA,NA,NA,590,122
1,1,2,963122,13,0,0,NA,NA,0,590,122
1,1,2,1284122,13,45,1,0,0,NA,1260,122
1,1,2,1605112,13,25,0,NA,NA,0,530,112
1,1,2,1926122,13,25,0,NA,NA,1,0,122
1,1,2,2247122,13,12,1,25,1,NA,770,122
1,1,2,2568112,13,4,-1,NA,NA,NA,210,112
1,1,2,2889112,13,50,0,NA,NA,0,900,112
1,1,2,3210112,13,40,1,25,0,NA,1000,112
1,1,2,321112,14,50,-1,NA,NA,NA,830,112
1,1,2,642122,14,0,1,50,0,NA,860,122
1,1,2,963122,14,0,1,12,1,NA,610,122
1,1,2,1284122,14,50,0,NA,NA,0,1360,122
1,1,2,1605112,14,40,1,40,0,NA,930,112
1,1,2,1926122,14,15,-1,NA,NA,NA,840,122
1,1,2,2247122,14,12,0,NA,NA,1,0,122
1,1,2,2568112,14,3,0,NA,NA,0,130,112
1,1,2,2889112,14,50,1,3,0,NA,1080,112
1,1,2,3210112,14,40,0,NA,NA,0,680,112
1,1,2,321112,15,50,1,0,0,NA,970,112
1,1,2,642122,15,0,-1,NA,NA,NA,640,122
1,1,2,963122,15,0,0,NA,NA,0,640,122
1,1,2,1284122,15,45,1,25,0,NA,1560,122
1,1,2,1605112,15,15,0,NA,NA,0,450,112
1,1,2,1926122,15,25,0,NA,NA,0,1010,122
1,1,2,2247122,15,2,1,0,0,NA,670,122
1,1,2,2568112,15,0,0,NA,NA,0,220,112
1,1,2,2889112,15,50,-1,NA,NA,NA,970,112
1,1,2,3210112,15,40,1,15,0,NA,1070,112
1,1,2,321112,16,50,0,NA,NA,0,860,112
1,1,2,642122,16,0,1,25,0,NA,870,122
1,1,2,963122,16,0,-1,NA,NA,NA,620,122
1,1,2,1284122,16,50,0,NA,NA,0,1370,122
1,1,2,1605112,16,38,0,NA,NA,0,680,112
1,1,2,1926122,16,25,0,NA,NA,0,990,122
1,1,2,2247122,16,1,1,50,0,NA,880,122
1,1,2,2568112,16,0,1,50,0,NA,360,112
1,1,2,2889112,16,50,-1,NA,NA,NA,860,112
1,1,2,3210112,16,40,1,38,0,NA,960,112
1,1,2,321112,17,50,-1,NA,NA,NA,850,112
1,1,2,642122,17,0,1,45,0,NA,920,122
1,1,2,963122,17,0,0,NA,NA,0,670,122
1,1,2,1284122,17,45,0,NA,NA,0,1350,122
1,1,2,1605112,17,40,1,40,0,NA,950,112
1,1,2,1926122,17,0,1,0,0,NA,670,122
1,1,2,2247122,17,20,-1,NA,NA,NA,970,122
1,1,2,2568112,17,0,0,NA,NA,0,100,112
1,1,2,2889112,17,50,1,0,0,NA,850,112
1,1,2,3210112,17,40,0,NA,NA,0,700,112
1,1,2,321112,18,50,-1,NA,NA,NA,550,112
1,1,2,642122,18,0,1,0,0,NA,610,122
1,1,2,963122,18,0,0,NA,NA,0,610,122
1,1,2,1284122,18,50,0,NA,NA,1,0,122
1,1,2,1605112,18,50,0,NA,NA,0,550,112
1,1,2,1926122,18,25,1,50,1,NA,980,122
1,1,2,2247122,18,3,-1,NA,NA,NA,650,122
1,1,2,2568112,18,50,1,50,0,NA,800,112
1,1,2,2889112,18,50,0,NA,NA,0,550,112
1,1,2,3210112,18,40,1,50,0,NA,650,112
1,1,2,321112,19,50,0,NA,NA,0,570,112
1,1,2,642122,19,0,1,25,0,NA,850,122
1,1,2,963122,19,0,-1,NA,NA,NA,600,122
1,1,2,1284122,19,40,0,NA,NA,1,0,122
1,1,2,1605112,19,45,1,50,0,NA,750,112
1,1,2,1926122,19,25,0,NA,NA,0,970,122
1,1,2,2247122,19,15,1,40,1,NA,820,122
1,1,2,2568112,19,50,1,40,0,NA,820,112
1,1,2,2889112,19,50,-1,NA,NA,NA,570,112
1,1,2,3210112,19,40,0,NA,NA,0,420,112
1,1,2,321112,20,50,1,40,0,NA,970,112
1,1,2,642122,20,0,0,NA,NA,0,730,122
1,1,2,963122,20,0,1,0,0,NA,730,122
1,1,2,1284122,20,10,0,NA,NA,1,0,122
1,1,2,1605112,20,15,-1,NA,NA,NA,200,112
1,1,2,1926122,20,25,-1,NA,NA,NA,1110,122
1,1,2,2247122,20,18,1,10,1,NA,1000,122
