"","union","performance","framing","id","group","round","trial","overextraction","observer","overext_observed","report","punished","round_profit"
"1",1,1,1,321,2,4,0,25,-1,-1,0,0,930
"2",1,1,1,642,1,4,0,15,-1,-1,0,0,1050
"3",1,1,1,963,2,4,0,50,-1,-1,0,0,1300
"4",1,1,1,1284,1,4,0,0,-1,-1,0,0,820
"5",1,1,1,1605,1,4,0,0,-1,-1,0,0,820
"6",1,1,1,1926,2,4,0,0,-1,-1,0,0,550
"7",1,1,1,2247,2,4,0,2,-1,-1,0,0,580
"8",1,1,1,2568,2,4,0,12,-1,-1,0,0,730
"9",1,1,1,2889,1,4,0,0,-1,-1,0,0,820
"10",1,1,1,3210,1,4,0,20,-1,-1,0,0,1120
"11",1,1,1,321,2,5,0,40,-1,-1,0,0,1070
"12",1,1,1,642,1,5,0,15,-1,-1,0,0,970
"13",1,1,1,963,2,5,0,50,-1,-1,0,0,1220
"14",1,1,1,1284,1,5,0,5,-1,-1,0,0,820
"15",1,1,1,1605,1,5,0,0,-1,-1,0,0,750
"16",1,1,1,1926,2,5,0,0,-1,-1,0,0,470
"17",1,1,1,2247,2,5,0,3,-1,-1,0,0,520
"18",1,1,1,2568,2,5,0,12,-1,-1,0,0,650
"19",1,1,1,2889,1,5,0,10,-1,-1,0,0,900
"20",1,1,1,3210,1,5,0,20,-1,-1,0,0,1050
"21",1,1,1,321,2,6,0,30,-1,-1,0,0,980
"22",1,1,1,642,1,6,0,25,-1,-1,0,0,1000
"23",1,1,1,963,2,6,0,50,-1,-1,0,0,1280
"24",1,1,1,1284,1,6,0,5,-1,-1,0,0,700
"25",1,1,1,1605,1,6,0,0,-1,-1,0,0,620
"26",1,1,1,1926,2,6,0,0,-1,-1,0,0,530
"27",1,1,1,2247,2,6,0,2,-1,-1,0,0,560
"28",1,1,1,2568,2,6,0,12,-1,-1,0,0,710
"29",1,1,1,2889,1,6,0,25,-1,-1,0,0,1000
"30",1,1,1,3210,1,6,0,20,-1,-1,0,0,920
"31",1,1,1,321,2,7,0,45,-1,-1,0,0,1130
"32",1,1,1,642,1,7,0,20,-1,-1,0,0,900
"33",1,1,1,963,2,7,0,50,-1,-1,0,0,1210
"34",1,1,1,1284,1,7,0,5,-1,-1,0,0,680
"35",1,1,1,1605,1,7,0,0,-1,-1,0,0,600
"36",1,1,1,1926,2,7,0,0,-1,-1,0,0,460
"37",1,1,1,2247,2,7,0,1,-1,-1,0,0,470
"38",1,1,1,2568,2,7,0,12,-1,-1,0,0,640
"39",1,1,1,2889,1,7,0,4,-1,-1,0,0,660
"40",1,1,1,3210,1,7,0,50,-1,-1,0,0,1350
"41",1,1,1,321,2,8,0,35,-1,-1,0,0,1010
"42",1,1,1,642,1,8,0,45,-1,-1,0,0,930
"43",1,1,1,963,2,8,0,50,-1,-1,0,0,1230
"44",1,1,1,1284,1,8,0,5,-1,-1,0,0,330
"45",1,1,1,1605,1,8,0,0,-1,-1,0,0,260
"46",1,1,1,1926,2,8,0,0,-1,-1,0,0,480
"47",1,1,1,2247,2,8,0,3,-1,-1,0,0,530
"48",1,1,1,2568,2,8,0,15,-1,-1,0,0,710
"49",1,1,1,2889,1,8,0,48,-1,-1,0,0,980
"50",1,1,1,3210,1,8,0,50,-1,-1,0,0,1010
"51",1,1,1,321,2,9,0,40,-1,-1,0,0,1060
"52",1,1,1,642,1,9,0,50,-1,-1,0,0,1030
"53",1,1,1,963,2,9,0,50,-1,-1,0,0,1210
"54",1,1,1,1284,1,9,0,5,-1,-1,0,0,350
"55",1,1,1,1605,1,9,0,0,-1,-1,0,0,280
"56",1,1,1,1926,2,9,0,0,-1,-1,0,0,460
"57",1,1,1,2247,2,9,0,3,-1,-1,0,0,500
"58",1,1,1,2568,2,9,0,15,-1,-1,0,0,680
"59",1,1,1,2889,1,9,0,49,-1,-1,0,0,1010
"60",1,1,1,3210,1,9,0,40,-1,-1,0,0,880
"61",1,1,1,321,2,10,0,50,-1,-1,0,0,1160
"62",1,1,1,642,1,10,0,50,-1,-1,0,0,1040
"63",1,1,1,963,2,10,0,50,-1,-1,0,0,1160
"64",1,1,1,1284,1,10,0,5,-1,-1,0,0,360
"65",1,1,1,1605,1,10,0,0,-1,-1,0,0,290
"66",1,1,1,1926,2,10,0,0,-1,-1,0,0,410
"67",1,1,1,2247,2,10,0,2,-1,-1,0,0,440
"68",1,1,1,2568,2,10,0,15,-1,-1,0,0,640
"69",1,1,1,2889,1,10,0,47,-1,-1,0,0,990
"70",1,1,1,3210,1,10,0,40,-1,-1,0,0,890
"71",1,1,1,321,2,11,0,30,-1,-1,0,0,910
"72",1,1,1,642,1,11,0,50,-1,-1,0,0,970
"73",1,1,1,963,2,11,0,50,-1,-1,0,0,1210
"74",1,1,1,1284,1,11,0,20,-1,-1,0,0,520
"75",1,1,1,1605,1,11,0,0,-1,-1,0,0,220
"76",1,1,1,1926,2,11,0,0,-1,-1,0,0,460
"77",1,1,1,2247,2,11,0,3,-1,-1,0,0,500
"78",1,1,1,2568,2,11,0,25,-1,-1,0,0,830
"79",1,1,1,2889,1,11,0,46,-1,-1,0,0,910
"80",1,1,1,3210,1,11,0,40,-1,-1,0,0,820
"81",1,1,1,321,2,12,0,50,-1,-1,0,0,1110
"82",1,1,1,642,1,12,0,40,-1,-1,0,0,850
"83",1,1,1,963,2,12,0,50,-1,-1,0,0,1110
"84",1,1,1,1284,1,12,0,20,-1,-1,0,0,550
"85",1,1,1,1605,1,12,0,0,-1,-1,0,0,250
"86",1,1,1,1926,2,12,0,0,-1,-1,0,0,360
"87",1,1,1,2247,2,12,0,2,-1,-1,0,0,390
"88",1,1,1,2568,2,12,0,25,-1,-1,0,0,740
"89",1,1,1,2889,1,12,0,45,-1,-1,0,0,920
"90",1,1,1,3210,1,12,0,45,-1,-1,0,0,920
"91",1,1,1,321,2,13,0,50,-1,-1,0,0,1110
"92",1,1,1,642,1,13,0,40,-1,-1,0,0,930
"93",1,1,1,963,2,13,0,50,-1,-1,0,0,1110
"94",1,1,1,1284,1,13,0,5,-1,-1,0,0,410
"95",1,1,1,1605,1,13,0,0,-1,-1,0,0,330
"96",1,1,1,1926,2,13,0,0,-1,-1,0,0,360
"97",1,1,1,2247,2,13,0,3,-1,-1,0,0,400
"98",1,1,1,2568,2,13,0,25,-1,-1,0,0,730
"99",1,1,1,2889,1,13,0,48,-1,-1,0,0,1050
"100",1,1,1,3210,1,13,0,40,-1,-1,0,0,930
"101",1,1,1,321,2,17,0,25,0,-1,0,1,0
"102",1,1,1,642,1,17,0,30,-1,-1,0,0,950
"103",1,1,1,963,2,17,0,50,1,3,0,0,1610
"104",1,1,1,1284,1,17,0,5,1,0,0,0,570
"105",1,1,1,1605,1,17,0,0,0,-1,0,0,500
"106",1,1,1,1926,2,17,0,0,-1,-1,0,0,610
"107",1,1,1,2247,2,17,0,3,0,-1,0,0,650
"108",1,1,1,2568,2,17,0,0,1,25,1,0,610
"109",1,1,1,2889,1,17,0,25,1,40,1,0,870
"110",1,1,1,3210,1,17,0,40,0,-1,0,1,0
"111",1,1,1,321,2,18,0,0,1,0,0,0,740
"112",1,1,1,642,1,18,0,35,1,0,0,0,1100
"113",1,1,1,963,2,18,0,50,1,0,0,0,1490
"114",1,1,1,1284,1,18,0,5,-1,-1,0,0,650
"115",1,1,1,1605,1,18,0,0,0,-1,0,0,570
"116",1,1,1,1926,2,18,0,0,0,-1,0,0,740
"117",1,1,1,2247,2,18,0,2,-1,-1,0,0,770
"118",1,1,1,2568,2,18,0,0,0,-1,0,0,740
"119",1,1,1,2889,1,18,0,45,0,-1,0,1,0
"120",1,1,1,3210,1,18,0,0,1,45,1,0,570
"121",1,1,1,321,2,19,0,30,-1,-1,0,0,1030
"122",1,1,1,642,1,19,0,35,1,0,0,0,1080
"123",1,1,1,963,2,19,0,50,0,-1,0,1,0
"124",1,1,1,1284,1,19,0,5,0,-1,0,1,0
"125",1,1,1,1605,1,19,0,0,0,-1,0,0,560
"126",1,1,1,1926,2,19,0,0,0,-1,0,0,580
"127",1,1,1,2247,2,19,0,3,1,50,1,0,630
"128",1,1,1,2568,2,19,0,0,1,0,0,0,580
"129",1,1,1,2889,1,19,0,48,1,5,1,0,1280
"130",1,1,1,3210,1,19,0,0,-1,-1,0,0,560
"131",1,1,1,321,2,20,0,40,-1,-1,0,0,1140
"132",1,1,1,642,1,20,0,35,0,-1,0,0,1090
"133",1,1,1,963,2,20,0,50,1,0,0,0,1290
"134",1,1,1,1284,1,20,0,5,-1,-1,0,0,640
"135",1,1,1,1605,1,20,0,0,1,35,0,0,820
"136",1,1,1,1926,2,20,0,0,0,-1,0,0,540
"137",1,1,1,2247,2,20,0,2,1,0,0,0,570
"138",1,1,1,2568,2,20,0,0,0,-1,0,0,540
"139",1,1,1,2889,1,20,0,46,0,-1,0,0,1260
"140",1,1,1,3210,1,20,0,0,1,46,0,0,820
"141",1,1,1,321,2,21,0,40,0,-1,0,1,0
"142",1,1,1,642,1,21,0,35,0,-1,0,1,0
"143",1,1,1,963,2,21,0,50,1,0,0,0,1280
"144",1,1,1,1284,1,21,0,0,1,0,0,0,590
"145",1,1,1,1605,1,21,0,0,-1,-1,0,0,590
"146",1,1,1,1926,2,21,0,0,0,-1,0,0,530
"147",1,1,1,2247,2,21,0,3,1,40,1,0,580
"148",1,1,1,2568,2,21,0,0,-1,-1,0,0,530
"149",1,1,1,2889,1,21,0,46,1,35,1,0,1280
"150",1,1,1,3210,1,21,0,0,0,-1,0,0,590
"151",1,1,1,321,2,22,0,30,1,3,1,0,1030
"152",1,1,1,642,1,22,0,35,0,-1,0,0,1130
"153",1,1,1,963,2,22,0,50,1,0,0,0,1330
"154",1,1,1,1284,1,22,0,0,-1,-1,0,0,610
"155",1,1,1,1605,1,22,0,0,1,35,0,0,860
"156",1,1,1,1926,2,22,0,0,-1,-1,0,0,580
"157",1,1,1,2247,2,22,0,3,0,-1,0,1,0
"158",1,1,1,2568,2,22,0,0,0,-1,0,0,580
"159",1,1,1,2889,1,22,0,43,0,-1,0,1,0
"160",1,1,1,3210,1,22,0,0,1,43,1,0,610
"161",1,1,1,321,2,23,0,30,-1,-1,0,0,1040
"162",1,1,1,642,1,23,0,35,-1,-1,0,0,1120
"163",1,1,1,963,2,23,0,50,1,2,0,0,1590
"164",1,1,1,1284,1,23,0,5,0,-1,0,1,0
"165",1,1,1,1605,1,23,0,0,1,41,0,0,840
"166",1,1,1,1926,2,23,0,0,0,-1,0,0,590
"167",1,1,1,2247,2,23,0,2,0,-1,0,0,620
"168",1,1,1,2568,2,23,0,0,1,0,0,0,590
"169",1,1,1,2889,1,23,0,41,0,-1,0,0,1210
"170",1,1,1,3210,1,23,0,0,1,5,1,0,590
"171",1,1,1,321,2,24,0,25,1,0,0,0,980
"172",1,1,1,642,1,24,0,50,1,35,1,0,1070
"173",1,1,1,963,2,24,0,50,1,0,0,0,1360
"174",1,1,1,1284,1,24,0,50,-1,-1,0,0,1070
"175",1,1,1,1605,1,24,0,0,1,0,0,0,320
"176",1,1,1,1926,2,24,0,0,0,-1,0,0,610
"177",1,1,1,2247,2,24,0,3,-1,-1,0,0,650
"178",1,1,1,2568,2,24,0,0,0,-1,0,0,610
"179",1,1,1,2889,1,24,0,35,0,-1,0,1,0
"180",1,1,1,3210,1,24,0,0,0,-1,0,0,320
"181",1,1,1,321,2,25,0,40,0,-1,0,1,0
"182",1,1,1,642,1,25,0,50,0,-1,0,1,0
"183",1,1,1,963,2,25,0,50,1,0,0,0,1280
"184",1,1,1,1284,1,25,0,5,0,-1,0,1,0
"185",1,1,1,1605,1,25,0,0,-1,-1,0,0,520
"186",1,1,1,1926,2,25,0,0,0,-1,0,0,530
"187",1,1,1,2247,2,25,0,3,1,40,1,0,580
"188",1,1,1,2568,2,25,0,0,-1,-1,0,0,530
"189",1,1,1,2889,1,25,0,41,1,50,1,0,1130
"190",1,1,1,3210,1,25,0,0,1,5,1,0,520
"191",1,1,1,321,2,26,0,30,1,0,0,0,1030
"192",1,1,1,642,1,26,0,50,1,0,0,0,1410
"193",1,1,1,963,2,26,0,50,1,3,0,0,1580
"194",1,1,1,1284,1,26,0,5,0,-1,0,0,740
"195",1,1,1,1605,1,26,0,0,1,5,0,0,910
"196",1,1,1,1926,2,26,0,0,-1,-1,0,0,580
"197",1,1,1,2247,2,26,0,3,0,-1,0,0,630
"198",1,1,1,2568,2,26,0,0,0,-1,0,0,580
"199",1,1,1,2889,1,26,0,12,-1,-1,0,0,840
"200",1,1,1,3210,1,26,0,0,0,-1,0,0,660
"201",1,1,2,321,1,4,0,50,-1,-1,0,0,620
"202",1,1,2,642,2,4,0,0,-1,-1,0,0,590
"203",1,1,2,963,2,4,0,5,-1,-1,0,0,670
"204",1,1,2,1284,2,4,0,50,-1,-1,0,0,1340
"205",1,1,2,1605,1,4,0,45,-1,-1,0,0,550
"206",1,1,2,1926,2,4,0,25,-1,-1,0,0,970
"207",1,1,2,2247,2,4,0,1,-1,-1,0,0,610
"208",1,1,2,2568,1,4,0,50,-1,-1,0,0,620
"209",1,1,2,2889,1,4,0,40,-1,-1,0,0,470
"210",1,1,2,3210,1,4,0,40,-1,-1,0,0,470
"211",1,1,2,321,1,5,0,50,-1,-1,0,0,900
"212",1,1,2,642,2,5,0,0,-1,-1,0,0,710
"213",1,1,2,963,2,5,0,5,-1,-1,0,0,780
"214",1,1,2,1284,2,5,0,50,-1,-1,0,0,1460
"215",1,1,2,1605,1,5,0,40,-1,-1,0,0,750
"216",1,1,2,1926,2,5,0,1,-1,-1,0,0,720
"217",1,1,2,2247,2,5,0,2,-1,-1,0,0,740
"218",1,1,2,2568,1,5,0,40,-1,-1,0,0,750
"219",1,1,2,2889,1,5,0,10,-1,-1,0,0,300
"220",1,1,2,3210,1,5,0,30,-1,-1,0,0,600
"221",1,1,2,321,1,6,0,50,-1,-1,0,0,800
"222",1,1,2,642,2,6,0,0,-1,-1,0,0,520
"223",1,1,2,963,2,6,0,5,-1,-1,0,0,590
"224",1,1,2,1284,2,6,0,50,-1,-1,0,0,1270
"225",1,1,2,1605,1,6,0,40,-1,-1,0,0,650
"226",1,1,2,1926,2,6,0,25,-1,-1,0,0,890
"227",1,1,2,2247,2,6,0,16,-1,-1,0,0,760
"228",1,1,2,2568,1,6,0,30,-1,-1,0,0,500
"229",1,1,2,2889,1,6,0,50,-1,-1,0,0,800
"230",1,1,2,3210,1,6,0,20,-1,-1,0,0,350
"231",1,1,2,321,1,7,0,50,-1,-1,0,0,720
"232",1,1,2,642,2,7,0,0,-1,-1,0,0,540
"233",1,1,2,963,2,7,0,5,-1,-1,0,0,610
"234",1,1,2,1284,2,7,0,50,-1,-1,0,0,1290
"235",1,1,2,1605,1,7,0,35,-1,-1,0,0,500
"236",1,1,2,1926,2,7,0,25,-1,-1,0,0,910
"237",1,1,2,2247,2,7,0,12,-1,-1,0,0,720
"238",1,1,2,2568,1,7,0,30,-1,-1,0,0,420
"239",1,1,2,2889,1,7,0,50,-1,-1,0,0,720
"240",1,1,2,3210,1,7,0,40,-1,-1,0,0,570
"241",1,1,2,321,1,8,0,50,-1,-1,0,0,870
"242",1,1,2,642,2,8,0,0,-1,-1,0,0,660
"243",1,1,2,963,2,8,0,5,-1,-1,0,0,730
"244",1,1,2,1284,2,8,0,50,-1,-1,0,0,1410
"245",1,1,2,1605,1,8,0,25,-1,-1,0,0,500
"246",1,1,2,1926,2,8,0,1,-1,-1,0,0,670
"247",1,1,2,2247,2,8,0,12,-1,-1,0,0,840
"248",1,1,2,2568,1,8,0,10,-1,-1,0,0,270
"249",1,1,2,2889,1,8,0,50,-1,-1,0,0,870
"250",1,1,2,3210,1,8,0,40,-1,-1,0,0,720
"251",1,1,2,321,1,9,0,50,-1,-1,0,0,760
"252",1,1,2,642,2,9,0,20,-1,-1,0,0,780
"253",1,1,2,963,2,9,0,5,-1,-1,0,0,550
"254",1,1,2,1284,2,9,0,50,-1,-1,0,0,1230
"255",1,1,2,1605,1,9,0,48,-1,-1,0,0,730
"256",1,1,2,1926,2,9,0,15,-1,-1,0,0,700
"257",1,1,2,2247,2,9,0,14,-1,-1,0,0,690
"258",1,1,2,2568,1,9,0,10,-1,-1,0,0,160
"259",1,1,2,2889,1,9,0,50,-1,-1,0,0,760
"260",1,1,2,3210,1,9,0,40,-1,-1,0,0,610
"261",1,1,2,321,1,10,0,50,-1,-1,0,0,880
"262",1,1,2,642,2,10,0,20,-1,-1,0,0,560
"263",1,1,2,963,2,10,0,10,-1,-1,0,0,410
"264",1,1,2,1284,2,10,0,50,-1,-1,0,0,1010
"265",1,1,2,1605,1,10,0,38,-1,-1,0,0,700
"266",1,1,2,1926,2,10,0,25,-1,-1,0,0,640
"267",1,1,2,2247,2,10,0,42,-1,-1,0,0,890
"268",1,1,2,2568,1,10,0,5,-1,-1,0,0,210
"269",1,1,2,2889,1,10,0,40,-1,-1,0,0,730
"270",1,1,2,3210,1,10,0,40,-1,-1,0,0,730
"271",1,1,2,321,1,11,0,50,-1,-1,0,0,780
"272",1,1,2,642,2,11,0,20,-1,-1,0,0,820
"273",1,1,2,963,2,11,0,0,-1,-1,0,0,520
"274",1,1,2,1284,2,11,0,50,-1,-1,0,0,1270
"275",1,1,2,1605,1,11,0,50,-1,-1,0,0,780
"276",1,1,2,1926,2,11,0,15,-1,-1,0,0,740
"277",1,1,2,2247,2,11,0,11,-1,-1,0,0,680
"278",1,1,2,2568,1,11,0,4,-1,-1,0,0,90
"279",1,1,2,2889,1,11,0,50,-1,-1,0,0,780
"280",1,1,2,3210,1,11,0,40,-1,-1,0,0,630
"281",1,1,2,321,1,12,0,50,-1,-1,0,0,830
"282",1,1,2,642,2,12,0,20,-1,-1,0,0,780
"283",1,1,2,963,2,12,0,2,-1,-1,0,0,510
"284",1,1,2,1284,2,12,0,45,-1,-1,0,0,1150
"285",1,1,2,1605,1,12,0,40,-1,-1,0,0,680
"286",1,1,2,1926,2,12,0,25,-1,-1,0,0,850
"287",1,1,2,2247,2,12,0,12,-1,-1,0,0,660
"288",1,1,2,2568,1,12,0,3,-1,-1,0,0,130
"289",1,1,2,2889,1,12,0,50,-1,-1,0,0,830
"290",1,1,2,3210,1,12,0,40,-1,-1,0,0,680
"291",1,1,2,321,1,13,0,50,-1,-1,0,0,770
"292",1,1,2,642,2,13,0,20,-1,-1,0,0,770
"293",1,1,2,963,2,13,0,0,-1,-1,0,0,470
"294",1,1,2,1284,2,13,0,50,-1,-1,0,0,1220
"295",1,1,2,1605,1,13,0,30,-1,-1,0,0,470
"296",1,1,2,1926,2,13,0,15,-1,-1,0,0,700
"297",1,1,2,2247,2,13,0,20,-1,-1,0,0,770
"298",1,1,2,2568,1,13,0,25,-1,-1,0,0,400
"299",1,1,2,2889,1,13,0,50,-1,-1,0,0,770
"300",1,1,2,3210,1,13,0,40,-1,-1,0,0,620
"301",1,1,2,321,1,17,0,50,0,-1,0,1,0
"302",1,1,2,642,2,17,0,0,-1,-1,0,0,690
"303",1,1,2,963,2,17,0,5,0,-1,0,0,770
"304",1,1,2,1284,2,17,0,40,1,15,1,0,1290
"305",1,1,2,1605,1,17,0,35,1,40,0,0,850
"306",1,1,2,1926,2,17,0,15,0,-1,0,1,0
"307",1,1,2,2247,2,17,0,1,1,5,0,0,960
"308",1,1,2,2568,1,17,0,10,-1,-1,0,0,220
"309",1,1,2,2889,1,17,0,50,1,50,1,0,820
"310",1,1,2,3210,1,17,0,40,0,-1,0,0,670
"311",1,1,2,321,1,18,0,50,0,-1,0,0,950
"312",1,1,2,642,2,18,0,0,0,-1,0,0,660
"313",1,1,2,963,2,18,0,5,0,-1,0,1,0
"314",1,1,2,1284,2,18,0,35,-1,-1,0,0,1190
"315",1,1,2,1605,1,18,0,25,1,40,1,0,570
"316",1,1,2,1926,2,18,0,15,1,5,1,0,890
"317",1,1,2,2247,2,18,0,12,1,0,0,0,840
"318",1,1,2,2568,1,18,0,5,-1,-1,0,0,270
"319",1,1,2,2889,1,18,0,40,0,-1,0,1,0
"320",1,1,2,3210,1,18,0,40,1,50,0,0,1050
"321",1,1,2,321,1,19,0,50,1,50,0,0,1150
"322",1,1,2,642,2,19,0,0,-1,-1,0,0,590
"323",1,1,2,963,2,19,0,0,0,-1,0,0,590
"324",1,1,2,1284,2,19,0,45,1,0,0,0,1260
"325",1,1,2,1605,1,19,0,25,0,-1,0,0,530
"326",1,1,2,1926,2,19,0,25,0,-1,0,1,0
"327",1,1,2,2247,2,19,0,12,1,25,1,0,770
"328",1,1,2,2568,1,19,0,4,-1,-1,0,0,210
"329",1,1,2,2889,1,19,0,50,0,-1,0,0,900
"330",1,1,2,3210,1,19,0,40,1,25,0,0,1000
"331",1,1,2,321,1,20,0,50,-1,-1,0,0,830
"332",1,1,2,642,2,20,0,0,1,50,0,0,860
"333",1,1,2,963,2,20,0,0,1,12,1,0,610
"334",1,1,2,1284,2,20,0,50,0,-1,0,0,1360
"335",1,1,2,1605,1,20,0,40,1,40,0,0,930
"336",1,1,2,1926,2,20,0,15,-1,-1,0,0,840
"337",1,1,2,2247,2,20,0,12,0,-1,0,1,0
"338",1,1,2,2568,1,20,0,3,0,-1,0,0,130
"339",1,1,2,2889,1,20,0,50,1,3,0,0,1080
"340",1,1,2,3210,1,20,0,40,0,-1,0,0,680
"341",1,1,2,321,1,21,0,50,1,0,0,0,970
"342",1,1,2,642,2,21,0,0,-1,-1,0,0,640
"343",1,1,2,963,2,21,0,0,0,-1,0,0,640
"344",1,1,2,1284,2,21,0,45,1,25,0,0,1560
"345",1,1,2,1605,1,21,0,15,0,-1,0,0,450
"346",1,1,2,1926,2,21,0,25,0,-1,0,0,1010
"347",1,1,2,2247,2,21,0,2,1,0,0,0,670
"348",1,1,2,2568,1,21,0,0,0,-1,0,0,220
"349",1,1,2,2889,1,21,0,50,-1,-1,0,0,970
"350",1,1,2,3210,1,21,0,40,1,15,0,0,1070
"351",1,1,2,321,1,22,0,50,0,-1,0,0,860
"352",1,1,2,642,2,22,0,0,1,25,0,0,870
"353",1,1,2,963,2,22,0,0,-1,-1,0,0,620
"354",1,1,2,1284,2,22,0,50,0,-1,0,0,1370
"355",1,1,2,1605,1,22,0,38,0,-1,0,0,680
"356",1,1,2,1926,2,22,0,25,0,-1,0,0,990
"357",1,1,2,2247,2,22,0,1,1,50,0,0,880
"358",1,1,2,2568,1,22,0,0,1,50,0,0,360
"359",1,1,2,2889,1,22,0,50,-1,-1,0,0,860
"360",1,1,2,3210,1,22,0,40,1,38,0,0,960
"361",1,1,2,321,1,23,0,50,-1,-1,0,0,850
"362",1,1,2,642,2,23,0,0,1,45,0,0,920
"363",1,1,2,963,2,23,0,0,0,-1,0,0,670
"364",1,1,2,1284,2,23,0,45,0,-1,0,0,1350
"365",1,1,2,1605,1,23,0,40,1,40,0,0,950
"366",1,1,2,1926,2,23,0,0,1,0,0,0,670
"367",1,1,2,2247,2,23,0,20,-1,-1,0,0,970
"368",1,1,2,2568,1,23,0,0,0,-1,0,0,100
"369",1,1,2,2889,1,23,0,50,1,0,0,0,850
"370",1,1,2,3210,1,23,0,40,0,-1,0,0,700
"371",1,1,2,321,1,24,0,50,-1,-1,0,0,550
"372",1,1,2,642,2,24,0,0,1,0,0,0,610
"373",1,1,2,963,2,24,0,0,0,-1,0,0,610
"374",1,1,2,1284,2,24,0,50,0,-1,0,1,0
"375",1,1,2,1605,1,24,0,50,0,-1,0,0,550
"376",1,1,2,1926,2,24,0,25,1,50,1,0,980
"377",1,1,2,2247,2,24,0,3,-1,-1,0,0,650
"378",1,1,2,2568,1,24,0,50,1,50,0,0,800
"379",1,1,2,2889,1,24,0,50,0,-1,0,0,550
"380",1,1,2,3210,1,24,0,40,1,50,0,0,650
"381",1,1,2,321,1,25,0,50,0,-1,0,0,570
"382",1,1,2,642,2,25,0,0,1,25,0,0,850
"383",1,1,2,963,2,25,0,0,-1,-1,0,0,600
"384",1,1,2,1284,2,25,0,40,0,-1,0,1,0
"385",1,1,2,1605,1,25,0,45,1,50,0,0,750
"386",1,1,2,1926,2,25,0,25,0,-1,0,0,970
"387",1,1,2,2247,2,25,0,15,1,40,1,0,820
"388",1,1,2,2568,1,25,0,50,1,40,0,0,820
"389",1,1,2,2889,1,25,0,50,-1,-1,0,0,570
"390",1,1,2,3210,1,25,0,40,0,-1,0,0,420
"391",1,1,2,321,1,26,0,50,1,40,0,0,970
"392",1,1,2,642,2,26,0,0,0,-1,0,0,730
"393",1,1,2,963,2,26,0,0,1,0,0,0,730
"394",1,1,2,1284,2,26,0,10,0,-1,0,1,0
"395",1,1,2,1605,1,26,0,15,-1,-1,0,0,200
"396",1,1,2,1926,2,26,0,25,-1,-1,0,0,1110
"397",1,1,2,2247,2,26,0,18,1,10,1,0,1000
"398",1,1,2,2568,1,26,0,50,1,50,0,0,970
"399",1,1,2,2889,1,26,0,50,0,-1,0,0,720
"400",1,1,2,3210,1,26,0,40,0,-1,0,0,570
"401",2,1,1,321,2,4,0,0,-1,-1,0,0,990
"402",2,1,1,642,1,4,0,0,-1,-1,0,0,1000
"403",2,1,1,963,2,4,0,0,-1,-1,0,0,990
"404",2,1,1,1284,2,4,0,2,-1,-1,0,0,1020
"405",2,1,1,1605,1,4,0,0,-1,-1,0,0,1000
